Day,Date,Close,Open,High,Low
Friday,2020-07-17,21971.1,21459.45,22081.0,21459.45
Monday,2020-07-20,22287.3,22230.95,22474.0,22122.35
Tuesday,2020-07-21,22815.75,22620.0,22899.7,22512.0
Wednesday,2020-07-22,22803.8,23124.95,23148.55,22573.7
Thursday,2020-07-23,23095.25,22765.35,23140.0,22703.5
Friday,2020-07-24,22611.3,22850.0,22901.05,22321.0
Monday,2020-07-27,21859.35,22620.2,22647.55,21818.8
Tuesday,2020-07-28,22176.5,21921.5,22306.95,21630.05
Wednesday,2020-07-29,22129.6,22086.95,22440.0,21964.15
Thursday,2020-07-30,21646.85,22090.0,22259.8,21562.2
Friday,2020-07-31,21691.5,21647.85,21827.6,21400.65
Monday,2020-08-03,21165.9,21480.0,21549.7,21085.35
Tuesday,2020-08-04,21551.85,21299.95,21633.0,21106.05
Wednesday,2020-08-05,21559.0,21699.0,21999.9,21464.05
Thursday,2020-08-06,21641.95,21685.0,21969.0,21370.0
Friday,2020-08-07,21771.35,21600.0,21835.0,21435.5
Monday,2020-08-10,21956.35,21851.0,22099.0,21802.0
Tuesday,2020-08-11,22296.35,21900.0,22345.0,21900.0
Wednesday,2020-08-12,22316.3,22122.35,22385.0,22000.6
Thursday,2020-08-13,22189.5,22401.0,22443.95,22122.5
Friday,2020-08-14,21668.8,22300.1,22318.0,21436.0
Monday,2020-08-17,21734.0,21900.0,21925.0,21394.0
Tuesday,2020-08-18,22198.2,21745.0,22272.95,21627.2
Wednesday,2020-08-19,22307.3,22293.0,22466.15,22212.7
Thursday,2020-08-20,21964.25,22022.0,22090.0,21765.3
Friday,2020-08-21,22282.8,22155.55,22378.0,22118.05
Monday,2020-08-24,22826.4,22327.25,22944.85,22327.2
Tuesday,2020-08-25,23078.15,22965.0,23168.65,22825.0
Wednesday,2020-08-26,23407.15,23150.0,23451.8,23070.0
Thursday,2020-08-27,23600.35,23490.0,23716.15,23473.5
Friday,2020-08-28,24539.35,23679.9,24658.7,23601.5
Monday,2020-08-31,23743.0,24900.05,25270.0,23371.0
Tuesday,2020-09-01,23915.55,23850.0,24200.0,23508.0
Wednesday,2020-09-02,23920.95,23855.0,23974.0,23500.9
Thursday,2020-09-03,23547.2,23938.8,24079.8,23452.95
Friday,2020-09-04,23026.65,23300.0,23440.0,22853.9
Monday,2020-09-07,22963.45,23016.35,23125.9,22721.0
Tuesday,2020-09-08,22748.85,22900.0,23092.95,22655.0
Wednesday,2020-09-09,22337.25,22500.0,22575.0,22128.95
Thursday,2020-09-10,22506.6,22485.0,22725.0,22253.45
Friday,2020-09-11,22538.95,22450.55,22676.0,22226.0
Monday,2020-09-14,22190.15,22664.35,22820.5,22105.0
Tuesday,2020-09-15,22558.45,22195.0,22597.0,22084.05
Wednesday,2020-09-16,22671.3,22538.0,22748.0,22280.0
Thursday,2020-09-17,22391.95,22340.0,22560.05,22300.05
Friday,2020-09-18,22078.4,22391.35,22520.0,21808.1
Monday,2020-09-21,21390.9,22025.0,22125.0,21290.0
Tuesday,2020-09-22,21183.65,21389.0,21516.65,20967.5
Wednesday,2020-09-23,21240.35,21350.9,21383.65,20830.0
